고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익
40,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,OFF-BI-10000340,사무용품,바인더,"Avery Binding Machine, Clear",620751.6,14,0.1,0
41,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,FUR-FU-10004158,가구,가구류,"Deflect-O Frame, Black",101016.72,1,0.1,30300.12
42,ID-2014-34709,2015-04-16,2015-04-22,표준 배송,LC-16870,진창우,소비자,순창군,전라북도,대한민국,호남,OFF-BI-10004098,사무용품,바인더,"Acco 3-Hole Punch, Durable",203190.12,7,0.1,-20434.68
43,IN-2013-70325,2014-01-12,2014-01-16,표준 배송,AB-10015,신슬비,소비자,중구,서울특별시,대한민국,수도권,TEC-AC-10002719,사무기기,악세사리,"Enermax Router, Programmable",1060106.4,4,0,307346.4
44,IN-2013-70325,2014-01-12,2014-01-16,표준 배송,AB-10015,신슬비,소비자,중구,서울특별시,대한민국,수도권,TEC-AC-10004054,사무기기,악세사리,"Memorex Keyboard, Bluetooth",145533.6,2,0,46512
45,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,TEC-AC-10001639,사무기기,악세사리,"Belkin Flash Drive, Erganomic",109471.5,3,0.1,9684.9
46,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",141693.3,3,0.1,26759.7
47,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,OFF-EN-10001789,사무용품,봉투,"Kraft Peel and Seal, Set of 50",37619.64,2,0.1,-875.16
48,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,TEC-CO-10000786,사무기기,복사기,"Canon Fax Machine, Color",293603.94,1,0.1,29342.34
49,IN-2013-10790,2014-10-24,2014-10-28,표준 배송,JE-15610,현천희,기업 고객,관악구,서울특별시,대한민국,수도권,TEC-PH-10004300,사무기기,전화기,"Apple Office Telephone, Cordless",250173.36,4,0.1,102803.76
50,IN-2015-71235,2016-09-17,2016-09-17,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,수도권,FUR-BO-10000112,가구,책장,"Dania Corner Shelving, Pine",339898.68,3,0.1,67895.28
51,IN-2015-71235,2016-09-17,2016-09-17,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,수도권,OFF-PA-10000453,사무용품,종이,"Xerox Cards & Envelopes, 8.5 x 11",90165.96,2,0.1,24987.96
52,IN-2013-29571,2014-09-28,2014-10-04,표준 배송,MD-17860,황상철,기업 고객,과천시,경기도,대한민국,수도권,TEC-PH-10001457,사무기기,전화기,"Apple Smart Phone, Full Size",3251250,5,0,357561
53,ID-2015-17265,2016-03-01,2016-03-05,표준 배송,KB-16240,홍희창,기업 고객,노원구,서울특별시,대한민국,수도권,OFF-EN-10001491,사무용품,봉투,"Jiffy Interoffice Envelope, Set of 50",284212.8,6,0,56732.4
54,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",387405.18,3,0.1,116136.18
55,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-BO-10004806,가구,책장,"Safco Corner Shelving, Traditional",1234838.52,9,0.1,384127.92
56,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-FU-10003939,가구,가구류,"Tenex Photo Frame, Duo Pack",333509.4,7,0.1,96175.8
57,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-FU-10001477,가구,가구류,"Rubbermaid Stacking Tray, Black",185068.8,8,0.1,24480
58,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-AR-10002797,사무용품,필기구,"Sanford Highlighters, Blue",72292.5,5,0.1,15988.5
59,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,TEC-AC-10000420,사무기기,악세사리,"Belkin Router, USB",475450.56,2,0.1,179609.76
60,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,TEC-CO-10003393,사무기기,복사기,"Sharp Personal Copier, Digital",988465.68,9,0.1,-77056.92
61,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-BI-10002853,사무용품,바인더,"Avery Binder Covers, Recycled",20985.48,2,0.1,8623.08
62,IN-2014-34702,2015-09-14,2015-09-19,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",122277.6,5,0.1,-4100.4
63,IN-2013-20996,2014-09-25,2014-09-29,표준 배송,ML-18265,유일,소비자,서구,인천광역시,대한민국,수도권,OFF-PA-10002461,사무용품,종이,"Eaton Parchment Paper, Multicolor",60710.4,4,0,18115.2
64,ID-2013-28682,2014-05-13,2014-05-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,수도권,OFF-PA-10000215,사무용품,종이,"Eaton Parchment Paper, Premium",24730.92,2,0.1,-850.68
65,ID-2013-28682,2014-05-13,2014-05-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,수도권,TEC-PH-10002602,사무기기,전화기,"Nokia Headset, Cordless",418387.68,6,0.1,153269.28
66,ID-2013-28682,2014-05-13,2014-05-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,수도권,FUR-CH-10004810,가구,의자,"Hon Swivel Stool, Set of Two",304592.4,2,0.1,37209.6
67,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-ST-10000220,사무용품,수납용품,"Rogers Shelving, Industrial",191586.6,3,0,34425
68,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,FUR-FU-10004820,가구,가구류,"Advantus Photo Frame, Erganomic",368424,7,0,158293.8
69,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10000577,사무용품,파스너,"Stockwell Push Pins, 12 Pack",27356.4,2,0,13647.6
70,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10004813,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",50581.8,3,0,12576.6
71,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-FA-10003218,사무용품,파스너,"Advantus Push Pins, Assorted Sizes",36352.8,3,0,14871.6
72,IN-2012-78823,2013-09-16,2013-09-21,표준 배송,ME-17725,안솔길,소비자,안산시,경기도,대한민국,수도권,OFF-LA-10004114,사무용품,라벨,"Avery File Folder Labels, Alphabetical",54712.8,6,0,15789.6
73,ID-2014-67952,2015-07-06,2015-07-10,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,TEC-AC-10000111,사무기기,악세사리,"SanDisk Mouse, USB",23574.24,1,0.4,-15716.16
74,IN-2012-21983,2013-08-13,2013-08-17,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,FUR-FU-10002525,가구,가구류,"Deflect-O Door Stop, Erganomic",130264.2,3,0,61138.8
75,IN-2014-41681,2015-10-04,2015-10-09,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,충청,OFF-AR-10004780,사무용품,필기구,"Stanley Markers, Blue",61138.8,3,0.1,25795.8
76,IN-2015-32091,2016-07-11,2016-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,강원,FUR-FU-10000666,가구,가구류,"Rubbermaid Frame, Black",224175.6,2,0,60526.8
77,IN-2015-32091,2016-07-11,2016-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,강원,OFF-ST-10001824,사무용품,수납용품,"Rogers Box, Single Width",73440,3,0,4406.4
78,IN-2013-65747,2014-04-11,2014-04-16,표준 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,수도권,OFF-BI-10002562,사무용품,바인더,"Ibico Binding Machine, Durable",194322.24,4,0.1,66903.84
79,ID-2013-20562,2014-06-05,2014-06-10,표준 배송,RM-19375,정준서,소비자,강남구,서울특별시,대한민국,수도권,OFF-BI-10001967,사무용품,바인더,"Acco Binder, Recycled",14238.18,1,0.1,-970.02
80,ID-2014-18448,2015-06-18,2015-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-LA-10002272,사무용품,라벨,"Smead File Folder Labels, Alphabetical",9406.44,2,0.47,-6933.96
81,ID-2014-18448,2015-06-18,2015-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-BI-10004868,사무용품,바인더,"Wilson Jones Hole Reinforcements, Durable",35734.986,7,0.17,-6034.014
82,ID-2014-18448,2015-06-18,2015-06-22,표준 배송,NC-18415,윤성주,소비자,함평군,전라남도,대한민국,호남,OFF-LA-10004848,사무용품,라벨,"Avery Legal Exhibit Labels, 5000 Label Set",19023.714,3,0.47,-1447.686
83,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,수도권,OFF-LA-10003778,사무용품,라벨,"Novimex File Folder Labels, Alphabetical",32925.6,4,0,8445.6
84,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,수도권,TEC-AC-10001278,사무기기,악세사리,"Enermax Flash Drive, USB",127693.8,3,0,30569.4
85,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,수도권,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",573933.6,4,0,212241.6
86,IN-2015-55513,2016-12-09,2016-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,OFF-ST-10003810,사무용품,수납용품,"Tenex Box, Single Width",118024.2,7,0,41126.4
87,IN-2015-55513,2016-12-09,2016-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",46512,4,0,856.8
88,IN-2015-76674,2016-09-14,2016-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,OFF-AR-10001405,사무용품,필기구,"Binney & Smith Highlighters, Fluorescent",54621,3,0,7068.6
89,IN-2015-76674,2016-09-14,2016-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",358876.8,4,0,150674.4
90,ID-2014-79964,2015-01-06,2015-01-07,특급 배송,RS-19765,차보민,기업 고객,부산진구,부산광역시,대한민국,영남,OFF-ST-10003445,사무용품,수납용품,"Rogers Folders, Industrial",85842.18,3,0.1,-6692.22
91,IN-2015-47463,2016-02-28,2016-03-05,표준 배송,ZC-21910,이유영,소비자,부산진구,부산광역시,대한민국,영남,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",15789.6,2,0.4,244.8
92,IN-2012-42591,2013-11-26,2013-11-30,표준 배송,MA-17995,소유희,홈 오피스,중랑구,서울특별시,대한민국,수도권,OFF-LA-10000506,사무용품,라벨,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",40208.4,4,0.1,8384.4
93,ID-2015-17657,2016-06-25,2016-06-30,표준 배송,FC-14245,유옥자,홈 오피스,옥천군,충청북도,대한민국,충청,OFF-PA-10004260,사무용품,종이,"Xerox Memo Slips, Recycled",29062.656,4,0.47,-5576.544
94,IN-2014-59755,2015-04-27,2015-04-30,빠른 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,FUR-CH-10004009,가구,의자,"SAFCO Rocking Chair, Set of Two",139903.2,1,0,32160.6
95,IN-2014-59755,2015-04-27,2015-04-30,빠른 배송,PG-18820,반미애,소비자,공주시,충청남도,대한민국,충청,FUR-BO-10000288,가구,책장,"Safco Classic Bookcase, Traditional",1340739,3,0,40208.4
96,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,TEC-MA-10004298,사무기기,전산기기,"Panasonic Calculator, Durable",42668.64,1,0.17,-8249.76
97,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,OFF-FA-10001010,사무용품,파스너,"Stockwell Clamps, Metal",83684.88,8,0.47,-33329.52
98,ID-2012-74721,2013-05-05,2013-05-06,특급 배송,HG-14845,신지애,소비자,강남구,서울특별시,대한민국,수도권,OFF-AP-10002017,사무용품,가전,"Cuisinart Blender, Red",56713.734,1,0.17,654.534
99,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-FA-10001187,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",27784.8,2,0,9424.8
100,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-FA-10001045,사무용품,파스너,"Stockwell Staples, 12 Pack",50184,5,0,3978
101,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",188496,5,0,75276
102,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",27540,2,0,13464
103,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-AR-10002727,사무용품,필기구,"Stanley Pencil Sharpener, Fluorescent",50551.2,2,0,14137.2
104,IN-2013-60371,2014-06-28,2014-06-30,특급 배송,BE-11335,이석진,홈 오피스,제주시,제주특별자치도,대한민국,호남,TEC-PH-10001917,사무기기,전화기,"Apple Signal Booster, Cordless",142290,1,0,11383.2
105,IN-2013-60371,2014-06-28,2014-06-30,특급 배송,BE-11335,이석진,홈 오피스,제주시,제주특별자치도,대한민국,호남,TEC-CO-10000778,사무기기,복사기,"Sharp Fax and Copier, Color",346881.6,2,0,34639.2
106,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,수도권,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",12056.4,2,0,2019.6
107,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,수도권,OFF-ST-10001026,사무용품,수납용품,"Fellowes Trays, Single Width",292842,5,0,131733
108,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,수도권,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",25030.8,1,0,7252.2
109,ID-2013-10230,2014-07-07,2014-07-10,특급 배송,JC-16105,윤정훈,기업 고객,도봉구,서울특별시,대한민국,수도권,FUR-BO-10004399,가구,책장,"Bush Floating Shelf Set, Pine",163747.332,1,0.07,-1768.068
110,ID-2013-10230,2014-07-07,2014-07-10,특급 배송,JC-16105,윤정훈,기업 고객,도봉구,서울특별시,대한민국,수도권,OFF-LA-10004062,사무용품,라벨,"Hon Removable Labels, 5000 Label Set",16639.668,3,0.47,-343.332
111,ID-2013-10230,2014-07-07,2014-07-10,특급 배송,JC-16105,윤정훈,기업 고객,도봉구,서울특별시,대한민국,수도권,OFF-EN-10004422,사무용품,봉투,"Cameo Peel and Seal, Set of 50",11352.6,1,0.47,-3855.6
112,IN-2014-72859,2015-05-17,2015-05-21,표준 배송,LC-17050,나효영,소비자,칠곡군,경상북도,대한민국,영남,OFF-BI-10000089,사무용품,바인더,"Wilson Jones 3-Hole Punch, Recycled",168007.77,7,0.17,64763.37
113,IN-2015-13597,2016-11-03,2016-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,충청,OFF-LA-10002088,사무용품,라벨,"Novimex Round Labels, Laser Printer Compatible",6395.4,1,0,2998.8
114,IN-2015-13597,2016-11-03,2016-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,충청,FUR-TA-10002256,가구,탁자,"Hon Wood Table, Fully Assembled",2717280,5,0,923814
115,ID-2012-36011,2013-01-26,2013-01-27,특급 배송,HK-14890,강효정,기업 고객,김제시,전라북도,대한민국,호남,FUR-CH-10003950,가구,의자,"Novimex Executive Leather Armchair, Black",340989.57,1,0.27,-112135.23
116,IN-2013-35598,2014-06-20,2014-06-24,표준 배송,AW-10840,지호경,소비자,강북구,서울특별시,대한민국,수도권,OFF-BI-10004454,사무용품,바인더,"Cardinal Binder Covers, Clear",17533.8,3,0.5,-2111.4
117,IN-2015-25161,2016-07-14,2016-07-20,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,충청,OFF-SU-10001686,사무용품,일반 사무용품,"Kleencut Trimmer, Easy Grip",118559.7,3,0.1,10511.1
118,ID-2014-18504,2015-10-23,2015-10-27,빠른 배송,FH-14365,한수혜,기업 고객,수성구,대구광역시,대한민국,영남,TEC-CO-10000764,사무기기,복사기,"Brother Fax Machine, Color",489569.4,3,0.5,-372157.2
